Phylum,Class,Order,Family,ScientificName,Taxa
Arthropoda,Insecta,Hemiptera,Belostomatidae,Abedus,Abedus
Arthropoda,Insecta,Ephemeroptera,Baetidae,Acentrella,Acentrella
Arthropoda,Insecta,Odonata,Aeshnidae,Aeshnidae,Aeshnidae
Arthropoda,Insecta,Coleoptera,Dytiscidae,Agabus,Agabus
Arthropoda,Insecta,Diptera,Stratiomyidae,Allognosta,Allognosta
Arthropoda,Insecta,Hemiptera,Naucoridae,Ambrysus,Ambrysus
Arthropoda,Malacostraca,Amphipoda,NA,Amphipoda,Amphipoda
Arthropoda,Insecta,Coleoptera,Elmidae,Ampumixis dispar,Ampumixis dispar
Arthropoda,Insecta,Odonata,NA,Anisoptera,Anisoptera
Arthropoda,Insecta,Diptera,Culicidae,Anopheles,Anopheles
Arthropoda,Insecta,Diptera,Tipulidae,Antocha monticola,Antocha monticola
Arthropoda,Insecta,Odonata,Lestidae,Archilestes,Archilestes
Arthropoda,Insecta,Odonata,Coenagrionidae,Argia,Argia
Arthropoda,Arachnida,Trombidiformes,Arrenuridae,Arrenurus,Arrenurus
Arthropoda,Insecta,Ephemeroptera,Leptohyphidae,Asioplax,Asioplax
Arthropoda,Insecta,Diptera,Athericidae,Atherix,Atherix
Arthropoda,Insecta,Trichoptera,Hydrobiosidae,Atopsyche,Atopsyche
Arthropoda,Insecta,Diptera,Ceratopogonidae,Atrichopogon/Forcipomyia,Atrichopogon/Forcipomyia
Arthropoda,Insecta,Ephemeroptera,Baetidae,Baetidae,Baetidae
Arthropoda,Insecta,Ephemeroptera,Baetidae,Baetis,Baetis
Arthropoda,Insecta,Ephemeroptera,Baetidae,Baetodes,Baetodes
Arthropoda,Insecta,Hemiptera,Belostomatidae,Belostoma,Belostoma
Arthropoda,Insecta,Hemiptera,Belostomatidae,Belostomatidae,Belostomatidae
Arthropoda,Insecta,Coleoptera,Hydrophilidae,Berosus,Berosus
Arthropoda,Insecta,Diptera,Ceratopogonidae,Bezzia,Bezzia
Mollusca,Bivalvia,Bivalvia,NA,Bivalvia,Bivalvia
Arthropoda,Insecta,Diptera,Chironomidae,Boreoheptagyia,Boreoheptagyia
Arthropoda,Insecta,Trichoptera,Brachycentridae,Brachycentrus,Brachycentrus
Arthropoda,Insecta,Trichoptera,Brachycentridae,Brachycentrus americanus,Brachycentrus americanus
Arthropoda,Insecta,Trichoptera,Brachycentridae,Brachycentrus occidentalis,Brachycentrus occidentalis
Arthropoda,Insecta,Odonata,Libellulidae,Brechmorhoga mendax,Brechmorhoga mendax
Arthropoda,Insecta,Hemiptera,Notonectidae,Buenoa,Buenoa
Arthropoda,Insecta,Ephemeroptera,Caenidae,Caenidae,Caenidae
Arthropoda,Insecta,Ephemeroptera,Caenidae,Caenis,Caenis
Arthropoda,Insecta,Ephemeroptera,Caenidae,Caenis amica/latipennis,Caenis amica/latipennis
Arthropoda,Insecta,Ephemeroptera,Baetidae,Callibaetis,Callibaetis
Arthropoda,Insecta,Diptera,Stratiomyidae,Caloparyphus,Caloparyphus
Arthropoda,Insecta,Odonata,Calopterygidae,Calopterygidae,Calopterygidae
Arthropoda,Malacostraca,Decapoda,Cambaridae,Cambaridae,Cambaridae
Arthropoda,Insecta,Ephemeroptera,Baetidae,Camelobaetidius,Camelobaetidius
Arthropoda,Insecta,Plecoptera,Capniidae,Capnia,Capnia
Arthropoda,Insecta,Plecoptera,Capniidae,Capniidae,Capniidae
Arthropoda,Insecta,Ephemeroptera,Baetidae,Centroptilum,Centroptilum
Arthropoda,Insecta,Diptera,Ceratopogonidae,Ceratopogon,Ceratopogon
Arthropoda,Insecta,Diptera,Ceratopogonidae,Ceratopogonidae,Ceratopogonidae
Arthropoda,Insecta,Trichoptera,Polycentropodidae,Cernotina,Cernotina
Arthropoda,Insecta,Diptera,Empididae,Chelifera,Chelifera
Arthropoda,Insecta,Trichoptera,Hydropsychidae,Cheumatopsyche,Cheumatopsyche
Arthropoda,Insecta,Trichoptera,Philopotamidae,Chimarra,Chimarra
Arthropoda,Insecta,Diptera,Chironomidae,Chironomidae,Chironomidae
Arthropoda,Insecta,Diptera,Chironomidae,Chironominae,Chironominae
Arthropoda,Insecta,Plecoptera,Chloroperlidae,Chloroperlinae,Chloroperlinae
Arthropoda,Insecta,Ephemeroptera,Heptageniidae,Cinygmula,Cinygmula
Arthropoda,Insecta,Plecoptera,Perlidae,Claassenia sabulosa,Claassenia sabulosa
Arthropoda,Insecta,Coleoptera,Elmidae,Cleptelmis addenda,Cleptelmis addenda
Arthropoda,Insecta,Diptera,Empididae,Clinocera,Clinocera
Annelida,Clitellata,Clitellata,NA,Clitellata,Clitellata
Arthropoda,Insecta,Odonata,Coenagrionidae,Coenagrionidae,Coenagrionidae
Arthropoda,Collembola,Collembola,NA,Collembola,Collembola
Mollusca,Bivalvia,Veneroida,Corbiculidae,Corbicula fluminea,Corbicula fluminea
Arthropoda,Insecta,Odonata,Cordulegastridae,Cordulegaster diadema,Cordulegaster diadema
Arthropoda,Insecta,Hemiptera,Corixidae,Corixidae,Corixidae
Arthropoda,Insecta,Megaloptera,Corydalidae,Corydalus cornutus,Corydalus cornutus
Arthropoda,Insecta,Diptera,Culicidae,Culex,Culex
Arthropoda,Insecta,Diptera,Culicidae,Culicidae,Culicidae
Arthropoda,Insecta,Diptera,Ceratopogonidae,Culicoides,Culicoides
Arthropoda,Insecta,Diptera,Culicidae,Culiseta,Culiseta
Arthropoda,Insecta,Trichoptera,Glossosomatidae,Culoptila/Protoptila,Culoptila/Protoptila
Arthropoda,Insecta,Coleoptera,Curculionidae,Curculionidae,Curculionidae
Arthropoda,Insecta,Diptera,Ceratopogonidae,Dasyhelea,Dasyhelea
Arthropoda,Malacostraca,Decapoda,NA,Decapoda,Decapoda
Arthropoda,Insecta,Diptera,Chironomidae,Diamesinae,Diamesinae
Arthropoda,Insecta,Diptera,Tipulidae,Dicranota,Dicranota
Arthropoda,Insecta,Coleoptera,Gyrinidae,Dineutus,Dineutus
Arthropoda,Insecta,Diptera,NA,Diptera,Diptera
Arthropoda,Insecta,Diptera,Dixidae,Dixa,Dixa
Arthropoda,Insecta,Diptera,Dixidae,Dixella,Dixella
Arthropoda,Insecta,Diptera,Dixidae,Dixidae,Dixidae
Arthropoda,Insecta,Diptera,Dolichopodidae,Dolichopodidae,Dolichopodidae
Arthropoda,Insecta,Ephemeroptera,Ephemerellidae,Drunella grandis,Drunella grandis
Arthropoda,Insecta,Coleoptera,Elmidae,Dubiraphia,Dubiraphia
Arthropoda,Insecta,Coleoptera,Dytiscidae,Dytiscidae,Dytiscidae
Arthropoda,Insecta,Coleoptera,Elmidae,Elmidae,Elmidae
Arthropoda,Insecta,Diptera,Empididae,Empididae,Empididae
Arthropoda,Insecta,Odonata,Coenagrionidae,Enallagma,Enallagma
Arthropoda,Insecta,Ephemeroptera,Heptageniidae,Epeorus,Epeorus
Arthropoda,Insecta,Ephemeroptera,Ephemerellidae,Ephemerella dorothea/excrucians,Ephemerella dorothea/excrucians
Arthropoda,Insecta,Ephemeroptera,Ephemerellidae,Ephemerella tibialis,Ephemerella tibialis
Arthropoda,Insecta,Ephemeroptera,Ephemerellidae,Ephemerellidae,Ephemerellidae
Arthropoda,Insecta,Ephemeroptera,NA,Ephemeroptera,Ephemeroptera
Arthropoda,Insecta,Diptera,Ephydridae,Ephydridae,Ephydridae
Arthropoda,Insecta,Odonata,Gomphidae,Erpetogomphus,Erpetogomphus
Annelida,Clitellata,Hirudinida,Erpobdellidae,Erpobdellidae,Erpobdellidae
Arthropoda,Insecta,Coleoptera,Psephenidae,Eubrianax edwardsii,Eubrianax edwardsii
Arthropoda,Insecta,Diptera,Chaoboridae,Eucorethra underwoodi,Eucorethra underwoodi
Arthropoda,Insecta,Diptera,Stratiomyidae,Euparyphus,Euparyphus
Arthropoda,Insecta,Ephemeroptera,Baetidae,Fallceon,Fallceon
Arthropoda,Malacostraca,Decapoda,Cambaridae,Faxonius virilis,Faxonius virilis
Mollusca,Gastropoda,Basommatophora,Ancylidae,Ferrissia rivularis,Ferrissia rivularis
Arthropoda,Malacostraca,Amphipoda,Gammaridae,Gammarus,Gammarus
Mollusca,Gastropoda,Gastropoda,NA,Gastropoda,Gastropoda
Arthropoda,Insecta,Hemiptera,Gerridae,Gerridae,Gerridae
Arthropoda,Insecta,Trichoptera,Glossosomatidae,Glossosoma,Glossosoma
Arthropoda,Insecta,Trichoptera,Glossosomatidae,Glossosomatidae,Glossosomatidae
Arthropoda,Insecta,Odonata,Gomphidae,Gomphidae,Gomphidae
Arthropoda,Insecta,Hemiptera,Corixidae,Graptocorixa,Graptocorixa
Arthropoda,Insecta,Coleoptera,Hydraenidae,Gymnochthebius,Gymnochthebius
Mollusca,Gastropoda,Basommatophora,Planorbidae,Gyraulus,Gyraulus
Arthropoda,Insecta,Coleoptera,Gyrinidae,Gyretes,Gyretes
Arthropoda,Insecta,Coleoptera,Gyrinidae,Gyrinidae,Gyrinidae
Arthropoda,Insecta,Coleoptera,Gyrinidae,Gyrinus,Gyrinus
Arthropoda,Insecta,Coleoptera,Haliplidae,Haliplidae,Haliplidae
Arthropoda,Insecta,Coleoptera,Dryopidae,Helichus,Helichus
Arthropoda,Insecta,Trichoptera,Helicopsychidae,Helicopsyche,Helicopsyche
Mollusca,Gastropoda,Basommatophora,Planorbidae,Helisoma,Helisoma
Arthropoda,Insecta,Diptera,Tipulidae,Helius,Helius
Annelida,Clitellata,Hirudinida,Glossiphoniidae,Helobdella stagnalis,Helobdella stagnalis
Arthropoda,Insecta,Coleoptera,Hydrophilidae,Helochares,Helochares
Arthropoda,Insecta,Coleoptera,Helophoridae,Helophorus,Helophorus
Arthropoda,Insecta,Diptera,Empididae,Hemerodromia,Hemerodromia
Arthropoda,Insecta,Ephemeroptera,Heptageniidae,Heptagenia,Heptagenia
Arthropoda,Insecta,Ephemeroptera,Heptageniidae,Heptageniidae,Heptageniidae
Arthropoda,Insecta,Plecoptera,Perlidae,Hesperoperla pacifica,Hesperoperla pacifica
Arthropoda,Insecta,Odonata,Calopterygidae,Hetaerina,Hetaerina
Arthropoda,Insecta,Coleoptera,Elmidae,Heterelmis,Heterelmis
Arthropoda,Insecta,Hemiptera,NA,Heteroptera,Heteroptera
Arthropoda,Malacostraca,Amphipoda,Hyalellidae,Hyalella,Hyalella
Arthropoda,Insecta,Coleoptera,Hydraenidae,Hydraena,Hydraena
Mollusca,Gastropoda,Neotaenioglossa,Hydrobiidae,Hydrobiidae,Hydrobiidae
Arthropoda,Insecta,Coleoptera,Hydrophilidae,Hydrophilidae,Hydrophilidae
Arthropoda,Insecta,Trichoptera,Hydropsychidae,Hydropsyche,Hydropsyche
Arthropoda,Insecta,Trichoptera,Hydropsychidae,Hydropsychidae,Hydropsychidae
Arthropoda,Insecta,Trichoptera,Hydroptilidae,Hydroptila,Hydroptila
Arthropoda,Insecta,Trichoptera,Hydroptilidae,Hydroptilidae,Hydroptilidae
Arthropoda,Arachnida,Trombidiformes,Hygrobatidae,Hygrobates,Hygrobates
Arthropoda,Arachnida,Trombidiformes,Hygrobatidae,Hygrobatidae,Hygrobatidae
Arthropoda,Insecta,Coleoptera,Dytiscidae,Hygrotus,Hygrotus
Arthropoda,Insecta,Plecoptera,Perlodidae,Isogenoides,Isogenoides
Arthropoda,Insecta,Ephemeroptera,Isonychiidae,Isonychia,Isonychia
Arthropoda,Insecta,Plecoptera,Perlodidae,Isoperla,Isoperla
Arthropoda,Insecta,Trichoptera,Hydroptilidae,Ithytrichia clavata,Ithytrichia clavata
Arthropoda,Insecta,Coleoptera,Dytiscidae,Laccophilus,Laccophilus
Arthropoda,Arachnida,Trombidiformes,Lebertiidae,Lebertia,Lebertia
Arthropoda,Insecta,Trichoptera,Lepidostomatidae,Lepidostoma,Lepidostoma
Arthropoda,Insecta,Trichoptera,Leptoceridae,Leptoceridae,Leptoceridae
Arthropoda,Insecta,Ephemeroptera,Leptohyphidae,Leptohyphes,Leptohyphes
Arthropoda,Insecta,Ephemeroptera,Leptohyphidae,Leptohyphidae,Leptohyphidae
Arthropoda,Insecta,Ephemeroptera,Leptophlebiidae,Leptophlebia,Leptophlebia
Arthropoda,Insecta,Ephemeroptera,Leptophlebiidae,Leptophlebiidae,Leptophlebiidae
Arthropoda,Insecta,Trichoptera,Hydroptilidae,Leucotrichia,Leucotrichia
Arthropoda,Insecta,Ephemeroptera,Heptageniidae,Leucrocuta,Leucrocuta
Arthropoda,Insecta,Odonata,Libellulidae,Libellulidae,Libellulidae
Arthropoda,Insecta,Trichoptera,Limnephilidae,Limnephilidae,Limnephilidae
Arthropoda,Insecta,Diptera,Tipulidae,Limnophila,Limnophila
Arthropoda,Insecta,Diptera,Tipulidae,Limonia,Limonia
Arthropoda,Insecta,Coleoptera,Dytiscidae,Liodessus obscurellus,Liodessus obscurellus
Mollusca,Gastropoda,Basommatophora,Lymnaeidae,Lymnaea,Lymnaea
Arthropoda,Insecta,Plecoptera,Nemouridae,Malenka,Malenka
Arthropoda,Insecta,Diptera,Psychodidae,Maruina,Maruina
Arthropoda,Insecta,Trichoptera,Hydroptilidae,Mayatrichia/Neotrichia,Mayatrichia/Neotrichia
Arthropoda,Insecta,Diptera,Dixidae,Meringodixa chalonensis,Meringodixa chalonensis
Arthropoda,Insecta,Hemiptera,Gerridae,Metrobates,Metrobates
Arthropoda,Insecta,Trichoptera,Brachycentridae,Micrasema,Micrasema
Arthropoda,Insecta,Coleoptera,Elmidae,Microcylloepus pusillus,Microcylloepus pusillus
Arthropoda,Insecta,Hemiptera,Veliidae,Microvelia,Microvelia
Arthropoda,Arachnida,Trombidiformes,Mideopsidae,Mideopsis,Mideopsis
Arthropoda,Insecta,Diptera,Tipulidae,Molophilus,Molophilus
Arthropoda,Insecta,Diptera,Muscidae,Muscidae,Muscidae
Arthropoda,Insecta,Diptera,Stratiomyidae,Myxosargus,Myxosargus
Arthropoda,Insecta,Hemiptera,Naucoridae,Naucoridae,Naucoridae
Arthropoda,Insecta,Trichoptera,Leptoceridae,Nectopsyche,Nectopsyche
Nematoda,Nematoda,Nematoda,NA,Nematoda,Nematoda
Arthropoda,Insecta,Diptera,Stratiomyidae,Nemotelus,Nemotelus
Arthropoda,Insecta,Plecoptera,Nemouridae,Nemouridae,Nemouridae
Arthropoda,Insecta,Coleoptera,Dytiscidae,Neoclypeodytes,Neoclypeodytes
Arthropoda,Insecta,Coleoptera,Elmidae,Neocylloepus,Neocylloepus
Arthropoda,Insecta,Coleoptera,Elmidae,Neoelmis caesa,Neoelmis caesa
Arthropoda,Insecta,Diptera,Empididae,Neoplasta,Neoplasta
Arthropoda,Insecta,Trichoptera,Hydroptilidae,Neotrichia,Neotrichia
Arthropoda,Insecta,Lepidoptera,Noctuidae,Noctuidae,Noctuidae
Arthropoda,Insecta,Hemiptera,Notonectidae,Notonectidae,Notonectidae
Arthropoda,Insecta,Trichoptera,Hydroptilidae,Ochrotrichia,Ochrotrichia
Arthropoda,Insecta,Coleoptera,Hydraenidae,Ochthebius,Ochthebius
Arthropoda,Insecta,Diptera,Stratiomyidae,Odontomyia,Odontomyia
Arthropoda,Insecta,Trichoptera,Leptoceridae,Oecetis,Oecetis
Annelida,Clitellata,Clitellata,NA,Oligochaeta,Oligochaeta
Arthropoda,Insecta,Odonata,Gomphidae,Ophiogomphus,Ophiogomphus
Arthropoda,Insecta,Coleoptera,Elmidae,Optioservus,Optioservus
Arthropoda,Insecta,Coleoptera,Elmidae,Optioservus divergens,Optioservus divergens
Arthropoda,Insecta,Coleoptera,Elmidae,Optioservus quadrimaculatus,Optioservus quadrimaculatus
Arthropoda,Insecta,Diptera,Chironomidae,Orthocladiinae,Orthocladiinae
Arthropoda,Insecta,Trichoptera,Hydroptilidae,Oxyethira,Oxyethira
Arthropoda,Insecta,Odonata,Libellulidae,Paltothemis lineatipes,Paltothemis lineatipes
Arthropoda,Insecta,Ephemeroptera,Baetidae,Paracloeodes minutus,Paracloeodes minutus
Arthropoda,Insecta,Ephemeroptera,Leptophlebiidae,Paraleptophlebia,Paraleptophlebia
Arthropoda,Insecta,Trichoptera,Hydropsychidae,Parapsyche,Parapsyche
Arthropoda,Insecta,Coleoptera,Haliplidae,Peltodytes,Peltodytes
Arthropoda,Insecta,Diptera,Psychodidae,Pericoma,Pericoma
Arthropoda,Insecta,Plecoptera,Perlidae,Perlidae,Perlidae
Arthropoda,Insecta,Plecoptera,Perlodidae,Perlodidae,Perlodidae
Arthropoda,Insecta,Lepidoptera,Crambidae,Petrophila,Petrophila
Arthropoda,Insecta,Trichoptera,Philopotamidae,Philopotamidae,Philopotamidae
Arthropoda,Insecta,Trichoptera,Calamoceratidae,Phylloicus mexicanus,Phylloicus mexicanus
Mollusca,Gastropoda,Basommatophora,Physidae,Physa,Physa
Mollusca,Bivalvia,Veneroida,Pisidiidae,Pisidiidae,Pisidiidae
Mollusca,Bivalvia,Veneroida,Pisidiidae,Pisidium,Pisidium
Mollusca,Gastropoda,Basommatophora,Planorbidae,Planorbella,Planorbella
Mollusca,Gastropoda,Basommatophora,Planorbidae,Planorbidae,Planorbidae
Platyhelminthes,Platyhelminthes,Platyhelminthes,NA,Platyhelminthes,Platyhelminthes
Arthropoda,Insecta,Plecoptera,NA,Plecoptera,Plecoptera
Arthropoda,Insecta,Trichoptera,Polycentropodidae,Polycentropodidae,Polycentropodidae
Arthropoda,Insecta,Trichoptera,Polycentropodidae,Polycentropus,Polycentropus
Arthropoda,Insecta,Coleoptera,Dryopidae,Postelichus,Postelichus
Arthropoda,Insecta,Diptera,Ceratopogonidae,Probezzia,Probezzia
Arthropoda,Insecta,Odonata,Gomphidae,Progomphus borealis,Progomphus borealis
Arthropoda,Arachnida,Trombidiformes,Hydryphantidae,Protzia,Protzia
Arthropoda,Insecta,Coleoptera,Psephenidae,Psephenidae,Psephenidae
Arthropoda,Insecta,Coleoptera,Psephenidae,Psephenus,Psephenus
Arthropoda,Insecta,Ephemeroptera,Baetidae,Pseudocloeon,Pseudocloeon
Arthropoda,Insecta,Diptera,Psychodidae,Psychoda,Psychoda
Arthropoda,Insecta,Diptera,Psychodidae,Psychodidae,Psychodidae
Arthropoda,Insecta,Trichoptera,Psychomyiidae,Psychomyia,Psychomyia
Arthropoda,Insecta,Trichoptera,Psychomyiidae,Psychomyiidae,Psychomyiidae
Arthropoda,Insecta,Plecoptera,Pteronarcyidae,Pteronarcys californica,Pteronarcys californica
Arthropoda,Insecta,Hemiptera,Nepidae,Ranatra,Ranatra
Arthropoda,Insecta,Hemiptera,Veliidae,Rhagovelia,Rhagovelia
Arthropoda,Insecta,Ephemeroptera,Heptageniidae,Rhithrogena,Rhithrogena
Arthropoda,Insecta,Trichoptera,Rhyacophilidae,Rhyacophila,Rhyacophila
Arthropoda,Insecta,Diptera,Sciomyzidae,Sciomyzidae,Sciomyzidae
Arthropoda,Insecta,Ephemeroptera,Ephemerellidae,Serratella,Serratella
Arthropoda,Insecta,Diptera,Simuliidae,Simuliidae,Simuliidae
Arthropoda,Insecta,Diptera,Simuliidae,Simulium,Simulium
Arthropoda,Insecta,Ephemeroptera,Siphlonuridae,Siphlonuridae,Siphlonuridae
Arthropoda,Insecta,Plecoptera,Perlodidae,Skwala americana,Skwala americana
Arthropoda,Insecta,Trichoptera,Hydropsychidae,Smicridea,Smicridea
Arthropoda,Arachnida,Trombidiformes,Sperchonidae,Sperchon,Sperchon
Arthropoda,Arachnida,Trombidiformes,Sperchonidae,Sperchonidae,Sperchonidae
Arthropoda,Arachnida,Trombidiformes,NA,Sperchonopsis,Sperchonopsis
Mollusca,Bivalvia,Veneroida,Pisidiidae,Sphaerium,Sphaerium
Arthropoda,Insecta,Coleoptera,Elmidae,Stenelmis,Stenelmis
Arthropoda,Insecta,Coleoptera,Dytiscidae,Stictotarsus,Stictotarsus
Arthropoda,Insecta,Diptera,Stratiomyidae,Stratiomyidae,Stratiomyidae
Arthropoda,Insecta,Diptera,Stratiomyidae,Stratiomys,Stratiomys
Arthropoda,Insecta,Diptera,Tabanidae,Tabanidae,Tabanidae
Arthropoda,Insecta,Diptera,Tabanidae,Tabanus,Tabanus
Arthropoda,Insecta,Plecoptera,Taeniopterygidae,Taeniopterygidae,Taeniopterygidae
Arthropoda,Insecta,Diptera,Chironomidae,Tanypodinae,Tanypodinae
Arthropoda,Arachnida,Trombidiformes,Torrenticolidae,Testudacarus,Testudacarus
Arthropoda,Insecta,Coleoptera,Dytiscidae,Thermonectus nigrofasciatus,Thermonectus nigrofasciatus
Arthropoda,Insecta,Ephemeroptera,Leptophlebiidae,Thraulodes,Thraulodes
Arthropoda,Insecta,Diptera,Tipulidae,Tipula,Tipula
Arthropoda,Insecta,Diptera,Tipulidae,Tipulidae,Tipulidae
Arthropoda,Arachnida,Trombidiformes,Torrenticolidae,Torrenticola,Torrenticola
Arthropoda,Arachnida,Trombidiformes,Torrenticolidae,Torrenticolidae,Torrenticolidae
Arthropoda,Insecta,Ephemeroptera,Leptophlebiidae,Traverella albertana,Traverella albertana
Arthropoda,Insecta,Trichoptera,Leptoceridae,Triaenodes,Triaenodes
Arthropoda,Insecta,Hemiptera,Corixidae,Trichocorixa,Trichocorixa
Arthropoda,Insecta,Trichoptera,NA,Trichoptera,Trichoptera
Arthropoda,Insecta,Ephemeroptera,Leptohyphidae,Tricorythodes,Tricorythodes
Arthropoda,Arachnida,Trombidiformes,NA,Trombidiformes,Trombidiformes
Arthropoda,Insecta,Coleoptera,Hydrophilidae,Tropisternus,Tropisternus
Arthropoda,Insecta,Coleoptera,Dytiscidae,Uvarus,Uvarus
Arthropoda,Insecta,Ephemeroptera,Leptohyphidae,Vacupernius packeri,Vacupernius packeri
Arthropoda,Insecta,Hemiptera,Veliidae,Veliidae,Veliidae
Arthropoda,Insecta,Diptera,Empididae,Wiedemannia,Wiedemannia
Xenacoelomorpha,Xenacoelomorpha,Xenacoelomorpha,NA,Xenacoelomorpha,Xenacoelomorpha
Arthropoda,Insecta,Coleoptera,Elmidae,Zaitzevia parvula,Zaitzevia parvula
Arthropoda,Insecta,Plecoptera,Nemouridae,Zapada,Zapada
Arthropoda,Insecta,Odonata,NA,Zygoptera,Zygoptera
